created_at,Midlothian,Austin,Houston,Del Rio,Midland,McAllen
2021-09-01 09:14:00+00:00,10.34,40.41,21.4,39.09,8.17,36.56
2021-09-01 09:16:00+00:00,11.02,40.98,22.19,38.77,9.45,35.61
2021-09-01 09:18:00+00:00,11.09,39.09,23.92,38.95,9.47,35.79
2021-09-01 09:20:00+00:00,10.6,40.13,21.12,38.88,9.27,36.4
2021-09-01 09:22:00+00:00,10.7,39.87,24.74,38.52,9.52,37.6
2021-09-01 09:24:00+00:00,11.98,40.11,25.89,38.24,9.91,36.35
2021-09-01 09:26:00+00:00,11.3,40.37,24.895,38.26,9.05,36.54
2021-09-01 09:28:00+00:00,11.36,41.18,23.9,38.69,10.36,37.57
2021-09-01 09:30:00+00:00,12.14,40.44,24.36,38.21,10.1,35.95
2021-09-01 09:32:00+00:00,11.62,40.25,26.7,38.37,8.98,36.77
2021-09-01 09:34:00+00:00,9.61,40.78,22.68,38.54,9.37,38.87
2021-09-01 09:36:00+00:00,10.02,40.98,22.25,38.14,10.17,37.07
2021-09-01 09:38:00+00:00,11.18,41.18,25.16,37.02,10.1,37.82
2021-09-01 09:40:00+00:00,11.47,42.33,26.41,37.5,9.05,36.98
2021-09-01 09:42:00+00:00,11.05,41.18,25.325,37.46,9.02,37.67
2021-09-01 09:44:00+00:00,12.11,40.54,24.24,37.79,10.07,36.41
2021-09-01 09:46:00+00:00,10.98,37.77,23.09,37.09,9.93,36.75
2021-09-01 09:48:00+00:00,10.82,36.66,24.17,38.0,9.93,37.56
2021-09-01 09:50:00+00:00,10.64,37.65,23.85,38.21,7.91,36.76
2021-09-01 09:52:00+00:00,12.09,37.34,25.36,38.5,8.67,37.12
2021-09-01 09:54:00+00:00,11.5,37.98,25.95,38.11,9.16,37.36
2021-09-01 09:56:00+00:00,12.03,38.61,25.65,38.51,8.73,37.73
2021-09-01 09:58:00+00:00,11.62,37.14,25.4025,38.89,9.12,37.72
2021-09-01 10:00:00+00:00,11.42,35.91,25.155,38.05,9.4,38.42
2021-09-01 10:02:00+00:00,11.84,35.34,25.3,38.19,9.22,38.54
2021-09-01 10:04:00+00:00,12.19,37.31,24.5,38.41,8.35,37.05
2021-09-01 10:06:00+00:00,12.53,37.25,24.52,37.32,8.72,39.02
2021-09-01 10:08:00+00:00,12.2,38.53,25.39,36.95,8.87,37.97
2021-09-01 10:10:00+00:00,13.15,38.65,26.63,36.17,8.97,37.6
2021-09-01 10:12:00+00:00,13.49,37.79,24.29,36.73,8.85,39.59
2021-09-01 10:14:00+00:00,11.79,37.46,24.78,36.89,9.05,38.28
2021-09-01 10:16:00+00:00,12.6,35.4,25.270000000000003,37.72,9.25,37.87
2021-09-01 10:18:00+00:00,13.12,39.18,24.89,37.84,9.78,38.42
2021-09-01 10:20:00+00:00,12.07,40.83,25.2,37.54,9.04,39.27
2021-09-01 10:22:00+00:00,12.74,41.16,27.26,37.98,9.16,39.27
2021-09-01 10:24:00+00:00,12.98,41.57,26.87,38.03,9.92,38.93
2021-09-01 10:26:00+00:00,12.95,40.68,23.94,37.02,9.57,40.05
2021-09-01 10:28:00+00:00,13.24,41.59,26.85,37.46,9.63,37.9
2021-09-01 10:30:00+00:00,13.88,42.0,26.17,36.93,9.64,38.89
2021-09-01 10:32:00+00:00,12.88,40.64,25.490000000000002,37.14,9.92,38.83
2021-09-01 10:34:00+00:00,14.15,41.8,27.52,37.04,9.24,39.11
2021-09-01 10:36:00+00:00,13.9,41.34,25.83,37.22,9.54,38.3
2021-09-01 10:38:00+00:00,13.05,41.41,23.78,36.07,9.72,38.0
2021-09-01 10:40:00+00:00,13.09,41.86,27.32,36.65,9.91,39.05
2021-09-01 10:42:00+00:00,13.89,41.84,27.64,35.32,9.1,38.3
2021-09-01 10:44:00+00:00,14.19,42.35,26.17,35.87,9.92,38.15
2021-09-01 10:46:00+00:00,13.19,41.86,26.09,35.53,9.39,39.18
2021-09-01 10:48:00+00:00,14.16,41.61,26.009999999999998,36.62,10.23,38.78
2021-09-01 10:50:00+00:00,14.17,41.53,26.96,35.28,9.83,39.45
2021-09-01 10:52:00+00:00,13.88,39.29,28.0,36.12,10.22,39.11
2021-09-01 10:54:00+00:00,14.74,38.48,26.67,35.96,9.38,39.12
2021-09-01 10:56:00+00:00,13.41,36.14,27.62,36.4,10.04,38.02
2021-09-01 10:58:00+00:00,14.75,37.61,27.52,35.74,9.1,38.16
2021-09-01 11:00:00+00:00,13.21,36.98,28.25,36.21,8.22,38.11
2021-09-01 11:02:00+00:00,14.02,36.09,28.25,35.36,9.74,38.62
2021-09-01 11:04:00+00:00,13.38,35.05,28.25,36.19,10.2,38.53
2021-09-01 11:06:00+00:00,14.09,36.38,28.39,36.32,9.62,38.53
2021-09-01 11:08:00+00:00,12.71,35.71,28.46,36.0,9.29,38.82
